Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,9.65,9.65,9.6,9.63,9.63,150700
2018-07-02,9.6,9.63,9.59,9.59,9.59,413800
2018-07-03,9.6,9.6,9.6,9.6,9.6,606500
2018-07-05,9.6,9.7,9.6,9.61,9.61,70000
2018-07-06,9.61,9.61,9.61,9.61,9.61,0
2018-07-09,9.6,9.61,9.6,9.61,9.61,202000
2018-07-10,9.61,9.61,9.61,9.61,9.61,0
2018-07-11,9.63,9.63,9.6,9.6,9.6,72300
2018-07-12,9.6,9.6,9.6,9.6,9.6,60000
2018-07-13,9.6,9.6,9.6,9.6,9.6,0
2018-07-16,9.6,10.1,9.58,9.58,9.58,38900
2018-07-17,9.58,9.63,9.58,9.63,9.63,255600
2018-07-18,9.63,9.63,9.63,9.63,9.63,0
2018-07-19,9.63,9.63,9.63,9.63,9.63,0
2018-07-20,9.63,9.63,9.63,9.63,9.63,0
2018-07-23,9.63,9.63,9.63,9.63,9.63,0
2018-07-24,9.63,9.63,9.63,9.63,9.63,0
2018-07-25,9.63,9.63,9.63,9.63,9.63,0
2018-07-26,9.65,9.65,9.6,9.61,9.61,201200
2018-07-27,9.61,9.61,9.61,9.61,9.61,0
2018-07-30,9.61,9.61,9.61,9.61,9.61,100000
2018-07-31,9.61,9.61,9.61,9.61,9.61,0
2018-08-01,9.61,9.61,9.61,9.61,9.61,0
2018-08-02,9.58,9.58,9.58,9.58,9.58,1300
2018-08-03,9.57,9.57,9.57,9.57,9.57,4900
2018-08-06,9.57,9.57,9.57,9.57,9.57,0
2018-08-07,9.6,9.6,9.58,9.58,9.58,10500
2018-08-08,9.58,9.58,9.58,9.58,9.58,0
2018-08-09,9.58,9.58,9.58,9.58,9.58,0
2018-08-10,9.58,9.58,9.58,9.58,9.58,0
2018-08-13,9.58,9.58,9.56,9.56,9.56,702000
2018-08-14,9.56,9.62,9.56,9.62,9.62,134000
2018-08-15,9.6,9.6,9.6,9.6,9.6,50000
2018-08-16,9.6,9.6,9.6,9.6,9.6,0
2018-08-17,9.6,9.6,9.6,9.6,9.6,0
2018-08-20,9.6,9.6,9.6,9.6,9.6,0
2018-08-21,9.6,9.6,9.6,9.6,9.6,0
2018-08-22,9.6,9.62,9.6,9.61,9.61,4300
2018-08-23,9.58,9.63,9.58,9.61,9.61,52300
2018-08-24,9.63,9.63,9.6,9.6,9.6,2200
2018-08-27,9.6,9.6,9.6,9.6,9.6,2200
2018-08-28,9.6,9.63,9.6,9.6,9.6,79000
2018-08-29,9.63,9.63,9.6,9.6,9.6,2500
2018-08-30,9.6,9.6,9.6,9.6,9.6,2500
2018-08-31,9.6,9.6,9.6,9.6,9.6,2500
2018-09-04,9.6,9.62,9.6,9.6,9.6,2500
2018-09-05,9.6,9.6,9.55,9.6,9.6,119000
2018-09-06,9.63,9.63,9.585,9.6,9.6,27500
2018-09-07,9.6,9.6,9.59,9.6,9.6,17300
2018-09-10,9.6,9.6,9.6,9.6,9.6,0
2018-09-11,9.6,9.62,9.55,9.6,9.6,21500
2018-09-12,9.6,9.61,9.6,9.6,9.6,1100
2018-09-13,9.6,9.6,9.6,9.6,9.6,0
2018-09-14,9.6,9.6,9.6,9.6,9.6,0
2018-09-17,9.56,9.6,9.56,9.6,9.6,103600
2018-09-18,9.6,9.6,9.59,9.6,9.6,474800
2018-09-19,9.55,9.64,9.55,9.6,9.6,26500
2018-09-20,9.6,9.6,9.6,9.6,9.6,34200
2018-09-21,9.59,9.59,9.589,9.59,9.59,4800
2018-09-24,9.59,9.59,9.59,9.59,9.59,0
2018-09-25,9.6,9.6,9.6,9.6,9.6,50000
2018-09-26,9.6,9.6,9.6,9.6,9.6,0
2018-09-27,9.6,9.6,9.6,9.6,9.6,0
2018-09-28,9.6,9.6,9.6,9.6,9.6,0
2018-10-01,9.6,9.601,9.6,9.6,9.6,31000
2018-10-02,9.6,9.6,9.6,9.6,9.6,0
2018-10-03,9.6,9.6,9.6,9.6,9.6,0
2018-10-04,9.6,9.6,9.6,9.6,9.6,0
2018-10-05,9.6,9.6,9.6,9.6,9.6,0
2018-10-08,9.6,9.6,9.6,9.6,9.6,0
2018-10-09,9.6,9.6,9.6,9.6,9.6,0
2018-10-10,9.6,9.6,9.6,9.6,9.6,124700
2018-10-11,9.6,9.6,9.6,9.6,9.6,0
2018-10-12,9.6,9.6,9.6,9.6,9.6,0
2018-10-15,9.6,9.6,9.6,9.6,9.6,0
2018-10-16,9.6,9.6,9.6,9.6,9.6,0
2018-10-17,9.6,9.6,9.6,9.6,9.6,105600
2018-10-18,9.56,9.63,9.56,9.63,9.63,1300
2018-10-19,9.63,9.63,9.63,9.63,9.63,0
2018-10-22,9.63,9.63,9.63,9.63,9.63,0
2018-10-23,9.63,9.63,9.63,9.63,9.63,0
2018-10-24,9.63,9.63,9.63,9.63,9.63,0
2018-10-25,9.63,9.63,9.63,9.63,9.63,0
2018-10-26,9.63,9.63,9.63,9.63,9.63,0
2018-10-29,9.6,9.63,9.6,9.61,9.61,96600
2018-10-30,9.61,9.61,9.61,9.61,9.61,0
2018-10-31,9.61,9.61,9.61,9.61,9.61,0
2018-11-01,9.61,9.61,9.61,9.61,9.61,0
2018-11-02,9.56,9.57,9.55,9.57,9.57,3000
2018-11-05,9.56,9.56,9.56,9.56,9.56,5000
2018-11-06,9.65,9.65,9.65,9.65,9.65,1000
2018-11-07,9.597,9.63,9.56,9.56,9.56,10300
2018-11-08,9.56,9.56,9.56,9.56,9.56,0
2018-11-09,9.56,9.63,9.56,9.63,9.63,10100
2018-11-12,9.6,9.65,9.6,9.65,9.65,97900
2018-11-13,9.64,9.74,9.611,9.64,9.64,332400
2018-11-14,9.7,9.76,9.66,9.69,9.69,7200
