Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,9.81,9.81,9.81,9.81,9.81,500000
2019-10-02,9.82,9.82,9.81,9.81,9.81,205100
2019-10-03,9.81,9.81,9.81,9.81,9.81,10000
2019-10-04,9.81,9.81,9.81,9.81,9.81,0
2019-10-07,9.81,9.81,9.81,9.81,9.81,0
2019-10-08,9.9,9.9,9.9,9.9,9.9,7900
2019-10-09,9.87,9.87,9.801,9.85,9.85,501100
2019-10-10,9.86,9.86,9.86,9.86,9.86,1000
2019-10-11,9.86,9.86,9.86,9.86,9.86,0
2019-10-14,9.8,9.85,9.8,9.85,9.85,200
2019-10-15,9.85,9.85,9.85,9.85,9.85,100
2019-10-16,9.85,9.86,9.85,9.86,9.86,28300
2019-10-17,9.86,9.86,9.86,9.86,9.86,200
2019-10-18,9.83,9.85,9.82,9.85,9.85,250100
2019-10-21,9.85,9.85,9.85,9.85,9.85,100
2019-10-22,9.85,9.85,9.85,9.85,9.85,100
2019-10-23,9.82,9.82,9.82,9.82,9.82,300100
2019-10-24,9.83,9.85,9.82,9.85,9.85,625300
2019-10-25,9.87,9.87,9.82,9.84,9.84,806100
2019-10-28,9.85,9.85,9.85,9.85,9.85,5700
2019-10-29,9.84,9.84,9.84,9.84,9.84,600100
2019-10-30,9.83,9.85,9.83,9.85,9.85,711700
2019-10-31,9.85,9.85,9.85,9.85,9.85,100
2019-11-01,9.83,9.87,9.83,9.84,9.84,81700
2019-11-04,9.84,9.84,9.84,9.84,9.84,100
2019-11-05,9.84,9.84,9.84,9.84,9.84,5000
2019-11-06,9.86,9.86,9.84,9.86,9.86,538700
2019-11-07,9.85,9.86,9.85,9.86,9.86,30500
2019-11-08,9.86,9.86,9.86,9.86,9.86,100
2019-11-11,9.83,9.87,9.83,9.86,9.86,109400
2019-11-12,9.84,9.84,9.84,9.84,9.84,1000
2019-11-13,9.85,9.86,9.84,9.86,9.86,1528100
2019-11-14,9.86,9.87,9.83,9.85,9.85,33100
2019-11-15,9.87,9.87,9.87,9.87,9.87,400
2019-11-18,9.85,9.9,9.83,9.9,9.9,528700
2019-11-19,9.9,9.9,9.9,9.9,9.9,100
2019-11-20,9.87,9.9,9.86,9.9,9.9,52700
2019-11-21,9.9,9.9,9.9,9.9,9.9,100
2019-11-22,9.9,9.9,9.9,9.9,9.9,100
2019-11-25,9.89,9.9,9.89,9.9,9.9,101200
2019-11-26,9.9,9.9,9.9,9.9,9.9,200
2019-11-27,9.9,9.9,9.9,9.9,9.9,0
2019-11-29,9.9,9.9,9.9,9.9,9.9,200
2019-12-02,9.891,9.91,9.891,9.91,9.91,400
2019-12-03,9.9,9.91,9.87,9.91,9.91,9500
2019-12-04,9.9,9.91,9.87,9.87,9.87,406100
2019-12-05,9.89,9.89,9.89,9.89,9.89,500
2019-12-06,9.89,9.91,9.89,9.9,9.9,4200
2019-12-09,9.9,9.9,9.9,9.9,9.9,0
2019-12-10,9.87,9.89,9.83,9.83,9.83,13200
2019-12-11,9.83,9.83,9.83,9.83,9.83,0
2019-12-12,9.9,9.92,9.9,9.9,9.9,4200
2019-12-13,9.88,10.01,9.88,9.93,9.93,56700
2019-12-16,9.91,9.95,9.91,9.949,9.949,77200
2019-12-17,9.92,9.94,9.91,9.92,9.92,255800
2019-12-18,9.96,9.97,9.91,9.91,9.91,87300
2019-12-19,9.93,9.939,9.91,9.939,9.939,104700
2019-12-20,9.95,9.95,9.94,9.94,9.94,1400
2019-12-23,10.07,10.07,9.91,9.92,9.92,2900
2019-12-24,9.92,9.92,9.92,9.92,9.92,0
2019-12-26,10.1,10.1,9.91,9.92,9.92,52300
2019-12-27,10.54,10.54,9.91,9.95,9.95,2700
2019-12-30,9.94,9.94,9.91,9.91,9.91,700
