Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,15.1,16.0,15.1,16.0,15.893023,600
2010-01-05,15.7,17.799999,15.7,17.1,16.985668,2500
2010-01-06,17.0,17.1,16.9,17.1,16.985668,400
2010-01-07,17.0,17.700001,16.5,17.700001,17.581659,300
2010-01-08,17.700001,17.700001,16.5,17.0,16.886335,300
2010-01-11,17.799999,17.799999,16.9,16.9,16.787003,0
2010-01-12,16.6,17.0,16.6,16.6,16.489014,0
2010-01-13,17.799999,17.799999,16.5,16.5,16.389677,100
2010-01-14,16.5,16.5,16.1,16.1,15.992352,1000
2010-01-15,16.799999,17.0,16.1,16.1,15.992352,800
2010-01-19,17.6,17.6,17.0,17.0,16.886335,0
2010-01-20,17.799999,17.799999,16.9,17.0,16.886335,0
2010-01-21,17.0,21.5,17.0,18.700001,18.574974,4500
2010-01-22,21.299999,21.5,18.799999,18.799999,18.674303,600
2010-01-25,18.799999,18.799999,18.200001,18.200001,18.078314,300
2010-01-26,17.299999,17.299999,17.299999,17.299999,17.184332,0
2010-01-27,17.299999,17.299999,17.299999,17.299999,17.184332,0
2010-01-28,17.299999,18.9,17.0,17.0,16.886335,900
2010-01-29,17.0,17.0,17.0,17.0,16.886335,0
2010-02-01,18.6,18.6,16.799999,16.9,16.787003,3500
2010-02-02,16.799999,16.9,16.1,16.1,15.992352,300
2010-02-03,16.1,16.1,16.1,16.1,15.992352,0
2010-02-04,16.1,16.1,16.1,16.1,15.992352,0
2010-02-05,17.0,17.0,17.0,17.0,16.886335,200
2010-02-08,19.299999,19.299999,18.799999,18.799999,18.674303,400
2010-02-09,19.200001,19.200001,19.0,19.0,18.872963,0
2010-02-10,18.200001,18.200001,18.0,18.0,17.879648,0
2010-02-11,18.0,18.0,15.5,16.1,15.992352,1500
2010-02-12,15.8,16.299999,15.4,15.5,15.396365,8900
2010-02-16,15.5,15.5,15.0,15.0,14.89971,1000
2010-02-17,15.1,15.5,14.9,15.2,15.098372,2000
2010-02-18,15.0,15.0,15.0,15.0,14.89971,200
