Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,12.55,13.36,11.77,12.49,12.49,750019
2019-12-13,12.45,13.7,12.12,12.9,12.9,290800
2019-12-16,12.9,13.2,12.11,12.5,12.5,157600
2019-12-17,12.5,12.643,11.0,11.07,11.07,221400
2019-12-18,11.19,11.19,9.04,9.52,9.52,403800
2019-12-19,9.44,9.49,7.84,9.4,9.4,325100
2019-12-20,9.5,10.09,8.88,10.0,10.0,94800
2019-12-23,10.05,10.64,9.5,10.18,10.18,70000
2019-12-24,10.0,10.53,9.85,10.53,10.53,30000
2019-12-26,10.46,11.0,10.32,10.61,10.61,46200
2019-12-27,10.77,10.77,10.0,10.63,10.63,45900
2019-12-30,10.74,10.8,10.15,10.64,10.64,47200
