Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,14.25,14.25,11.81,12.49,12.49,928300
2019-11-08,12.5,13.15,12.11,12.99,12.99,255800
2019-11-11,14.54,15.59,13.2,13.92,13.92,116000
2019-11-12,13.89,13.98,13.12,13.76,13.76,57100
2019-11-13,13.95,15.0,13.22,14.6,14.6,108500
2019-11-14,14.58,14.58,13.94,14.19,14.19,45200
2019-11-15,14.27,14.3,13.56,14.04,14.04,63400
2019-11-18,14.23,14.33,13.52,14.33,14.33,9400
2019-11-19,14.35,14.88,13.92,14.07,14.07,60000
2019-11-20,14.08,14.432,13.75,13.85,13.85,14600
2019-11-21,14.15,14.275,13.68,13.7,13.7,24900
2019-11-22,13.55,14.02,13.04,13.35,13.35,15200
2019-11-25,13.21,13.6,12.92,13.35,13.35,11400
2019-11-26,13.1,13.45,12.75,13.05,13.05,19500
2019-11-27,13.05,13.15,12.615,12.615,12.615,5000
2019-11-29,12.42,13.15,12.42,12.971,12.971,3200
2019-12-02,12.95,13.0,12.0,12.25,12.25,96700
2019-12-03,12.1,12.94,12.0,12.2,12.2,91200
2019-12-04,12.72,13.05,11.61,12.75,12.75,143000
2019-12-05,12.68,13.0,10.45,10.65,10.65,105100
2019-12-06,10.66,12.11,9.69,9.81,9.81,71600
2019-12-09,10.02,11.1,7.8,8.1,8.1,119100
2019-12-10,8.59,9.2,8.04,9.05,9.05,77100
2019-12-11,10.0,11.31,10.0,11.2,11.2,103900
2019-12-12,11.3,11.669,10.81,11.28,11.28,32900
2019-12-13,11.37,11.945,10.83,11.34,11.34,40000
2019-12-16,11.24,11.432,10.8,10.88,10.88,33500
2019-12-17,11.0,11.27,10.8,10.99,10.99,47700
2019-12-18,10.91,11.0,10.5,10.56,10.56,12100
2019-12-19,10.9,11.95,10.5,10.66,10.66,34600
2019-12-20,10.6,11.19,10.015,10.46,10.46,201500
2019-12-23,10.45,11.0,10.346,10.62,10.62,37500
2019-12-24,10.664,10.7,10.6,10.6,10.6,4200
2019-12-26,10.63,10.786,10.045,10.48,10.48,9400
2019-12-27,10.5,10.83,9.69,9.84,9.84,22400
2019-12-30,11.58,11.58,9.9,9.99,9.99,40400
