Date,Open,High,Low,Close,Adj Close,Volume
2018-05-30,10.01,10.04,10.01,10.03,10.03,1321200
2018-05-31,10.04,10.09,10.02,10.056,10.056,140800
2018-06-01,10.06,10.09,10.05,10.09,10.09,207000
2018-06-04,10.09,10.1,10.05,10.1,10.1,125900
2018-06-05,10.075,10.09,10.05,10.06,10.06,154100
2018-06-06,10.09,10.1,10.06,10.1,10.1,151700
2018-06-07,10.02,10.12,10.02,10.09,10.09,121700
2018-06-08,10.075,10.1,10.06,10.06,10.06,50600
2018-06-11,10.06,10.12,10.06,10.08,10.08,92800
2018-06-12,10.1,10.14,10.1,10.115,10.115,733800
2018-06-13,10.09,10.12,10.08,10.08,10.08,410300
2018-06-14,10.07,10.07,10.07,10.07,10.07,18800
2018-06-15,10.02,10.07,10.02,10.06,10.06,106100
2018-06-18,10.06,10.09,10.055,10.09,10.09,170700
2018-06-19,10.09,10.09,10.09,10.09,10.09,0
2018-06-20,10.14,10.14,10.077,10.08,10.08,51300
2018-06-21,10.06,10.09,10.06,10.09,10.09,74300
2018-06-22,10.09,10.09,10.09,10.09,10.09,0
2018-06-25,10.08,10.08,10.06,10.06,10.06,88800
2018-06-26,10.05,10.05,10.03,10.03,10.03,35200
2018-06-27,10.06,10.08,10.03,10.03,10.03,38900
2018-06-28,10.03,10.03,10.03,10.03,10.03,0
2018-06-29,10.05,10.08,10.05,10.08,10.08,8700
2018-07-02,10.04,10.04,10.04,10.04,10.04,600
2018-07-03,10.04,10.04,10.04,10.04,10.04,1400
2018-07-05,10.07,10.07,10.045,10.045,10.045,4100
2018-07-06,10.08,10.08,10.08,10.08,10.08,300
2018-07-09,10.14,10.14,10.0,10.05,10.05,10900
2018-07-10,10.077,10.077,10.077,10.077,10.077,100
2018-07-11,10.077,10.077,10.077,10.077,10.077,0
2018-07-12,10.01,10.01,10.01,10.01,10.01,100
2018-07-13,10.0,10.03,10.0,10.03,10.03,800
2018-07-16,10.03,10.03,10.03,10.03,10.03,0
2018-07-17,10.04,10.08,10.03,10.03,10.03,107700
2018-07-18,10.03,10.03,10.03,10.03,10.03,0
2018-07-19,10.03,10.03,10.03,10.03,10.03,1100
2018-07-20,10.08,10.08,10.079,10.08,10.08,53200
2018-07-23,10.056,10.056,10.056,10.056,10.056,100
2018-07-24,10.056,10.056,10.056,10.056,10.056,0
2018-07-25,10.056,10.056,10.056,10.056,10.056,0
2018-07-26,10.056,10.056,10.056,10.056,10.056,0
2018-07-27,10.06,10.06,10.042,10.05,10.05,29500
2018-07-30,10.08,10.08,10.08,10.08,10.08,10000
2018-07-31,10.03,10.03,10.03,10.03,10.03,1500
2018-08-01,10.07,10.07,10.07,10.07,10.07,2000
2018-08-02,10.07,10.07,10.07,10.07,10.07,6500
2018-08-03,10.07,10.07,10.07,10.07,10.07,0
2018-08-06,10.02,10.02,10.02,10.02,10.02,3400
2018-08-07,10.02,10.02,10.02,10.02,10.02,0
2018-08-08,10.0,10.01,10.0,10.01,10.01,2000
2018-08-09,10.064,10.064,10.06,10.06,10.06,5000
2018-08-10,10.06,10.06,10.06,10.06,10.06,0
2018-08-13,10.06,10.06,10.06,10.06,10.06,0
2018-08-14,10.06,10.06,10.06,10.06,10.06,0
2018-08-15,10.07,10.07,10.07,10.07,10.07,800
2018-08-16,10.07,10.07,10.07,10.07,10.07,0
2018-08-17,10.07,10.07,10.07,10.07,10.07,0
2018-08-20,10.02,10.02,10.02,10.02,10.02,100
